image,transform,align_score,mode,status
2022_03_21_11_03_58_82,id,6045,cellwise,ok
2022_03_21_11_04_00_49,id,0,cellwise,empty
2022_03_21_11_04_02_16,id,2883,cellwise,ok
2022_03_21_11_04_03_83,id,0,cellwise,empty
2022_03_21_11_04_07_18,id,0,cellwise,empty
2022_03_21_11_04_08_86,id,0,cellwise,empty
2022_03_21_11_04_12_21,id,0,cellwise,empty
2022_03_21_11_04_13_88,id,1937,cellwise,ok
2022_03_21_11_04_15_55,id,0,cellwise,empty
2022_03_21_11_04_17_23,id,3068,cellwise,ok
2022_03_21_11_04_18_90,id,2516,cellwise,ok
2022_03_21_11_04_20_57,id,2842,cellwise,ok
2022_03_21_11_04_22_25,id,0,cellwise,empty
2022_03_21_11_04_23_92,id,3771,cellwise,ok
2022_03_21_11_04_27_27,id,0,cellwise,empty
2022_03_21_11_04_28_94,id,2599,cellwise,ok
2022_03_21_11_04_30_62,id,0,cellwise,empty
2022_03_21_11_04_33_96,id,0,cellwise,empty
2022_03_21_11_04_35_64,id,0,cellwise,empty
2022_03_21_11_04_37_31,id,0,cellwise,empty
2022_03_21_11_04_38_98,id,0,cellwise,empty
2022_03_21_11_04_40_66,id,2240,cellwise,ok
2022_03_21_11_04_42_34,id,3265,cellwise,ok
2022_03_21_11_04_44_01,id,0,cellwise,empty
2022_03_21_11_04_45_68,id,6777,cellwise,ok
2022_03_21_11_04_47_35,id,0,cellwise,empty
2022_03_21_11_04_49_03,id,2190,cellwise,ok
2022_03_21_11_04_50_70,id,2702,cellwise,ok
2022_03_21_11_04_54_05,id,2206,cellwise,ok
2022_03_21_11_04_55_72,id,0,cellwise,empty
2022_03_21_11_04_57_40,id,0,cellwise,empty
2022_03_21_11_04_59_07,id,1870,cellwise,ok
2022_03_21_11_05_00_75,id,1973,cellwise,ok
2022_03_21_11_05_02_42,id,0,cellwise,empty
2022_03_21_11_05_05_77,id,0,cellwise,empty
